Store,Date,Temperature,Unemployment
1,5/02/2010,42.31,8.106
1,12/02/2010,38.51,8.106
1,19/02/2010,39.93,8.106
1,26/02/2010,46.63,8.106
1,5/03/2010,46.5,8.106
1,12/03/2010,57.79,8.106
1,19/03/2010,54.58,8.106
1,26/03/2010,51.45,8.106
1,2/04/2010,62.27,7.808
1,9/04/2010,65.86,7.808
1,16/04/2010,66.32,7.808
1,23/04/2010,64.84,7.808
1,30/04/2010,67.41,7.808
1,7/05/2010,72.55,7.808
1,14/05/2010,74.78,7.808
1,21/05/2010,76.44,7.808
1,28/05/2010,80.44,7.808
1,4/06/2010,80.69,7.808
1,11/06/2010,80.43,7.808
1,18/06/2010,84.11,7.808
1,25/06/2010,84.34,7.808
1,2/07/2010,80.91,7.787
1,9/07/2010,80.48,7.787
1,16/07/2010,83.15,7.787
1,23/07/2010,83.36,7.787
1,30/07/2010,81.84,7.787
1,6/08/2010,87.16,7.787
1,13/08/2010,87,7.787
1,20/08/2010,86.65,7.787
1,27/08/2010,85.22,7.787
1,3/09/2010,81.21,7.787
1,10/09/2010,78.69,7.787
1,17/09/2010,82.11,7.787
1,24/09/2010,80.94,7.787
1,1/10/2010,71.89,7.838
1,8/10/2010,63.93,7.838
1,15/10/2010,67.18,7.838
1,22/10/2010,69.86,7.838
1,29/10/2010,69.64,7.838
1,5/11/2010,58.74,7.838
1,12/11/2010,59.61,7.838
1,19/11/2010,51.41,7.838
1,26/11/2010,64.52,7.838
1,3/12/2010,49.27,7.838
1,10/12/2010,46.33,7.838
1,17/12/2010,49.84,7.838
1,24/12/2010,52.33,7.838
1,31/12/2010,48.43,7.838
1,7/01/2011,48.27,7.742
1,14/01/2011,35.4,7.742
1,21/01/2011,44.04,7.742
1,28/01/2011,43.83,7.742
1,4/02/2011,42.27,7.742
1,11/02/2011,36.39,7.742
1,18/02/2011,57.36,7.742
1,25/02/2011,62.9,7.742
1,4/03/2011,59.58,7.742
1,11/03/2011,53.56,7.742
1,18/03/2011,62.76,7.742
1,25/03/2011,69.97,7.742
1,1/04/2011,59.17,7.682
1,8/04/2011,67.84,7.682
1,15/04/2011,71.27,7.682
1,22/04/2011,72.99,7.682
1,29/04/2011,72.03,7.682
1,6/05/2011,64.61,7.682
1,13/05/2011,75.64,7.682
1,20/05/2011,67.63,7.682
1,27/05/2011,77.72,7.682
1,3/06/2011,83,7.682
1,10/06/2011,83.13,7.682
1,17/06/2011,86.41,7.682
1,24/06/2011,83.58,7.682
1,1/07/2011,85.55,7.962
1,8/07/2011,85.83,7.962
1,15/07/2011,88.54,7.962
1,22/07/2011,85.77,7.962
1,29/07/2011,86.83,7.962
1,5/08/2011,91.65,7.962
1,12/08/2011,90.76,7.962
1,19/08/2011,89.94,7.962
1,26/08/2011,87.96,7.962
1,2/09/2011,87.83,7.962
1,9/09/2011,76,7.962
1,16/09/2011,79.94,7.962
1,23/09/2011,75.8,7.962
1,30/09/2011,79.69,7.962
1,7/10/2011,69.31,7.866
1,14/10/2011,71.74,7.866
1,21/10/2011,63.71,7.866
1,28/10/2011,66.57,7.866
1,4/11/2011,54.98,7.866
1,11/11/2011,59.11,7.866
1,18/11/2011,62.25,7.866
1,25/11/2011,60.14,7.866
1,2/12/2011,48.91,7.866
1,9/12/2011,43.93,7.866
1,16/12/2011,51.63,7.866
1,23/12/2011,47.96,7.866
1,30/12/2011,44.55,7.866
1,6/01/2012,49.01,7.348
1,13/01/2012,48.53,7.348
