Store,Date,Weekly_Sales
1,5/02/2010,24924.5
1,12/02/2010,46039.49
1,19/02/2010,41595.55
1,26/02/2010,19403.54
1,5/03/2010,21827.9
1,12/03/2010,21043.39
1,19/03/2010,22136.64
1,26/03/2010,26229.21
1,2/04/2010,57258.43
1,9/04/2010,42960.91
1,16/04/2010,17596.96
1,23/04/2010,16145.35
1,30/04/2010,16555.11
1,7/05/2010,17413.94
1,14/05/2010,18926.74
1,21/05/2010,14773.04
1,28/05/2010,15580.43
1,4/06/2010,17558.09
1,11/06/2010,16637.62
1,18/06/2010,16216.27
1,25/06/2010,16328.72
1,2/07/2010,16333.14
1,9/07/2010,17688.76
1,16/07/2010,17150.84
1,23/07/2010,15360.45
1,30/07/2010,15381.82
1,6/08/2010,17508.41
1,13/08/2010,15536.4
1,20/08/2010,15740.13
1,27/08/2010,15793.87
1,3/09/2010,16241.78
1,10/09/2010,18194.74
1,17/09/2010,19354.23
1,24/09/2010,18122.52
1,1/10/2010,20094.19
1,8/10/2010,23388.03
1,15/10/2010,26978.34
1,22/10/2010,25543.04
1,29/10/2010,38640.93
1,5/11/2010,34238.88
1,12/11/2010,19549.39
1,19/11/2010,19552.84
1,26/11/2010,18820.29
1,3/12/2010,22517.56
1,10/12/2010,31497.65
1,17/12/2010,44912.86
1,24/12/2010,55931.23
1,31/12/2010,19124.58
1,7/01/2011,15984.24
1,14/01/2011,17359.7
1,21/01/2011,17341.47
1,28/01/2011,18461.18
1,4/02/2011,21665.76
1,11/02/2011,37887.17
1,18/02/2011,46845.87
1,25/02/2011,19363.83
1,4/03/2011,20327.61
1,11/03/2011,21280.4
1,18/03/2011,20334.23
1,25/03/2011,20881.1
1,1/04/2011,20398.09
1,8/04/2011,23873.79
1,15/04/2011,28762.37
1,22/04/2011,50510.31
1,29/04/2011,41512.39
1,6/05/2011,20138.19
1,13/05/2011,17235.15
1,20/05/2011,15136.78
1,27/05/2011,15741.6
1,3/06/2011,16434.15
1,10/06/2011,15883.52
1,17/06/2011,14978.09
