DATE,IPG2211A2N
1939-01-01,3.3842
1939-02-01,3.4100
1939-03-01,3.4875
1939-04-01,3.5133
1939-05-01,3.5133
1939-06-01,3.5650
1939-07-01,3.5650
1939-08-01,3.6167
1939-09-01,3.7200
1939-10-01,3.7200
1939-11-01,3.7458
1939-12-01,3.7458
1940-01-01,3.7717
1940-02-01,3.8233
1940-03-01,3.8492
1940-04-01,3.8492
1940-05-01,3.8750
1940-06-01,3.9267
1940-07-01,3.9267
1940-08-01,3.9783
1940-09-01,4.0300
1940-10-01,4.0558
1940-11-01,4.1592
1940-12-01,4.1592
1941-01-01,4.1850
1941-02-01,4.2367
1941-03-01,4.2883
1941-04-01,4.3400
1941-05-01,4.3658
1941-06-01,4.4433
1941-07-01,4.4950
1941-08-01,4.5467
1941-09-01,4.5725
1941-10-01,4.5983
1941-11-01,4.6500
1941-12-01,4.7533
1942-01-01,4.8050
1942-02-01,4.8567
1942-03-01,4.8825
1942-04-01,4.8825
1942-05-01,4.8825
1942-06-01,4.9084
1942-07-01,5.0633
1942-08-01,5.0892
1942-09-01,5.1150
1942-10-01,5.1150
1942-11-01,5.1925
1942-12-01,5.2700
1943-01-01,5.2184
1943-02-01,5.2959
1943-03-01,5.3217
1943-04-01,5.3992
1943-05-01,5.4250
1943-06-01,5.5284
1943-07-01,5.5800
1943-08-01,5.6059
1943-09-01,5.7092
1943-10-01,5.7092
1943-11-01,5.7867
1943-12-01,5.7867
1944-01-01,5.7350
1944-02-01,5.8125
1944-03-01,5.9159
1944-04-01,5.9417
1944-05-01,5.9417
1944-06-01,5.9417
1944-07-01,5.8900
1944-08-01,5.9159
1944-09-01,5.8900
1944-10-01,5.8383
1944-11-01,5.8900
1944-12-01,5.9159
1945-01-01,6.0192
1945-02-01,6.0192
1945-03-01,5.9934
1945-04-01,5.9934
1945-05-01,6.0450
1945-06-01,6.1225
1945-07-01,6.0967
1945-08-01,5.9934
1945-09-01,5.8900
1945-10-01,5.8383
1945-11-01,5.8900
1945-12-01,5.9417
1946-01-01,5.9417
1946-02-01,5.9417
1946-03-01,5.9417
1946-04-01,6.0450
1946-05-01,6.0967
1946-06-01,6.1225
1946-07-01,6.2517
1946-08-01,6.3550
1946-09-01,6.4325
1946-10-01,6.5100
1946-11-01,6.5359
1946-12-01,6.5617
1947-01-01,6.7425
1947-02-01,6.6134
1947-03-01,6.5617
1947-04-01,6.5617
1947-05-01,6.5359
1947-06-01,6.5359
1947-07-01,6.5359
1947-08-01,6.7167
1947-09-01,6.8459
1947-10-01,6.8717
1947-11-01,6.9492
1947-12-01,7.2850
1948-01-01,7.6467
1948-02-01,7.4659
1948-03-01,7.4917
1948-04-01,7.3367
1948-05-01,7.1817
1948-06-01,7.2334
1948-07-01,7.2850
1948-08-01,7.4659
1948-09-01,7.5950
1948-10-01,7.6725
1948-11-01,7.7759
1948-12-01,8.0859
1949-01-01,8.2667
1949-02-01,8.0859
1949-03-01,7.9825
1949-04-01,7.8017
1949-05-01,7.6467
1949-06-01,7.6984
1949-07-01,7.8017
1949-08-01,7.9825
1949-09-01,8.0600
1949-10-01,8.0084
1949-11-01,8.2150
1949-12-01,8.6800
1950-01-01,9.0934
1950-02-01,8.8867
1950-03-01,8.9384
1950-04-01,8.8350
1950-05-01,8.8092
1950-06-01,8.8867
1950-07-01,8.9125
1950-08-01,9.1192
1950-09-01,9.2484
1950-10-01,9.4034
1950-11-01,9.5325
1950-12-01,9.8684
1951-01-01,10.4367
1951-02-01,10.2817
1951-03-01,10.2817
1951-04-01,10.2559
1951-05-01,10.0492
1951-06-01,10.1784
1951-07-01,10.2300
1951-08-01,10.4625
1951-09-01,10.5659
1951-10-01,10.4884
1951-11-01,10.6950
1951-12-01,11.0050
1952-01-01,11.5475
1952-02-01,11.2892
1952-03-01,11.2117
1952-04-01,10.9275
1952-05-01,10.7209
1952-06-01,10.7984
1952-07-01,10.9792
1952-08-01,11.3409
1952-09-01,11.5475
1952-10-01,11.5217
1952-11-01,11.6250
1952-12-01,12.0384
1953-01-01,12.4517
1953-02-01,12.0642
1953-03-01,12.1417
1953-04-01,12.0642
1953-05-01,11.9092
1953-06-01,12.0642
1953-07-01,12.2450
1953-08-01,12.4259
1953-09-01,12.4259
1953-10-01,12.3225
1953-11-01,12.2450
1953-12-01,12.6584
1954-01-01,13.3559
1954-02-01,12.9942
1954-03-01,12.9425
1954-04-01,12.7875
1954-05-01,12.5292
1954-06-01,12.7359
1954-07-01,13.0717
1954-08-01,13.4075
1954-09-01,13.4592
1954-10-01,13.3559
1954-11-01,13.4075
1954-12-01,14.0792
1955-01-01,14.4925
1955-02-01,14.4409
1955-03-01,14.4409
1955-04-01,14.2859
1955-05-01,14.0017
1955-06-01,14.1309
1955-07-01,14.4925
1955-08-01,15.2159
1955-09-01,15.3192
1955-10-01,15.0350
1955-11-01,15.1125
1955-12-01,15.8875
1956-01-01,16.4559
1956-02-01,16.2492
1956-03-01,16.0942
1956-04-01,15.8875
1956-05-01,15.7325
1956-06-01,15.8359
1956-07-01,16.0684
1956-08-01,16.4559
1956-09-01,16.3526
1956-10-01,16.0684
1956-11-01,16.0684
1956-12-01,16.7917
1957-01-01,17.5409
1957-02-01,17.3084
1957-03-01,17.0759
1957-04-01,16.7917
1957-05-01,16.5075
1957-06-01,16.7142
1957-07-01,17.3859
1957-08-01,17.9284
1957-09-01,17.6701
1957-10-01,17.1792
1957-11-01,17.2309
1957-12-01,17.8767
1958-01-01,18.4967
1958-02-01,18.1867
1958-03-01,17.9542
1958-04-01,17.3342
1958-05-01,16.9984
1958-06-01,17.4376
1958-07-01,17.9284
1958-08-01,18.6517
1958-09-01,18.7034
1958-10-01,18.1351
1958-11-01,18.0576
1958-12-01,19.0134
1959-01-01,20.0209
1959-02-01,19.6851
1959-03-01,19.5817
1959-04-01,19.1167
1959-05-01,18.9876
1959-06-01,19.5817
1959-07-01,20.0984
1959-08-01,20.5117
1959-09-01,20.7184
1959-10-01,19.7884
1959-11-01,19.7367
1959-12-01,20.8734
1960-01-01,21.7517
1960-02-01,21.4417
1960-03-01,21.5451
1960-04-01,20.8217
1960-05-01,20.2017
1960-06-01,20.7184
1960-07-01,21.2351
1960-08-01,22.0617
1960-09-01,22.0876
1960-10-01,21.0542
1960-11-01,20.8217
1960-12-01,21.5967
1961-01-01,22.6301
1961-02-01,22.1651
1961-03-01,21.8551
1961-04-01,21.4934
1961-05-01,21.4934
1961-06-01,21.9584
1961-07-01,22.4751
1961-08-01,23.5342
1961-09-01,23.6634
1961-10-01,22.7334
1961-11-01,22.3976
1961-12-01,23.3276
1962-01-01,24.7226
1962-02-01,24.0767
1962-03-01,23.9218
1962-04-01,23.0434
1962-05-01,22.9401
1962-06-01,23.7151
1962-07-01,24.4384
1962-08-01,25.1101
1962-09-01,25.1101
1962-10-01,24.0767
1962-11-01,23.9218
1962-12-01,24.8259
1963-01-01,26.2726
1963-02-01,25.9626
1963-03-01,25.4718
1963-04-01,24.5159
1963-05-01,24.5159
1963-06-01,25.3168
1963-07-01,26.4534
1963-08-01,27.3059
1963-09-01,26.9184
1963-10-01,25.5493
1963-11-01,25.2393
1963-12-01,26.4793
1964-01-01,28.2101
1964-02-01,27.3576
1964-03-01,27.2801
1964-04-01,26.8409
1964-05-01,26.6343
1964-06-01,27.5126
1964-07-01,29.2693
1964-08-01,30.0701
1964-09-01,29.4243
1964-10-01,27.9001
1964-11-01,27.2801
1964-12-01,28.8043
1965-01-01,29.9409
1965-02-01,29.2693
1965-03-01,29.3209
1965-04-01,28.6493
1965-05-01,28.1584
1965-06-01,29.1659
1965-07-01,30.4834
1965-08-01,31.5168
1965-09-01,31.3618
1965-10-01,29.8376
1965-11-01,29.0368
1965-12-01,30.5093
1966-01-01,31.7493
1966-02-01,31.6976
1966-03-01,31.2584
1966-04-01,30.2768
1966-05-01,30.0443
1966-06-01,31.2068
1966-07-01,33.8676
1966-08-01,34.8751
1966-09-01,33.8418
1966-10-01,31.7234
1966-11-01,31.3101
1966-12-01,32.7309
1967-01-01,34.5227
1967-02-01,33.9469
1967-03-01,32.8940
1967-04-01,32.6367
1967-05-01,31.5629
1967-06-01,32.9433
1967-07-01,34.0303
1967-08-01,34.4184
1967-09-01,33.3846
1967-10-01,33.3188
1967-11-01,33.8395
1967-12-01,35.8726
1968-01-01,37.2112
1968-02-01,36.2878
1968-03-01,35.9942
1968-04-01,34.3456
1968-05-01,33.9643
1968-06-01,36.1243
1968-07-01,36.7772
1968-08-01,38.1009
1968-09-01,37.2582
1968-10-01,35.4821
1968-11-01,36.1209
1968-12-01,38.7412
1969-01-01,40.1646
1969-02-01,39.7420
1969-03-01,39.0089
1969-04-01,37.1541
1969-05-01,36.3473
1969-06-01,38.9665
1969-07-01,40.8648
1969-08-01,42.2285
1969-09-01,40.3886
1969-10-01,38.7361
1969-11-01,39.7793
1969-12-01,41.2020
1970-01-01,43.0869
1970-02-01,42.5577
1970-03-01,41.6215
1970-04-01,40.1982
1970-05-01,39.9321
1970-06-01,41.1847
1970-07-01,43.2230
1970-08-01,44.8138
1970-09-01,43.6007
1970-10-01,40.5467
1970-11-01,40.9385
1970-12-01,42.1117
1971-01-01,44.9517
1971-02-01,44.3696
1971-03-01,42.7548
1971-04-01,41.4234
1971-05-01,40.8295
1971-06-01,43.5488
1971-07-01,45.1876
1971-08-01,46.1091
1971-09-01,45.5050
1971-10-01,43.9496
1971-11-01,44.0030
1971-12-01,45.6054
1972-01-01,48.8392
1972-02-01,50.0191
1972-03-01,47.8421
1972-04-01,44.5127
1972-05-01,42.1061
1972-06-01,43.8217
1972-07-01,45.3964
1972-08-01,47.9891
1972-09-01,46.8293
1972-10-01,44.6882
1972-11-01,47.1979
1972-12-01,52.1760
1973-01-01,55.9342
1973-02-01,53.9974
1973-03-01,50.5102
1973-04-01,46.8192
1973-05-01,44.9288
1973-06-01,47.4589
1973-07-01,49.3168
1973-08-01,51.0910
1973-09-01,50.0826
1973-10-01,47.0794
1973-11-01,47.8829
1973-12-01,49.7968
1974-01-01,53.8211
1974-02-01,51.6562
1974-03-01,49.7984
1974-04-01,46.8319
1974-05-01,45.4161
1974-06-01,47.1087
1974-07-01,50.7056
1974-08-01,51.7371
1974-09-01,48.6743
1974-10-01,47.1173
1974-11-01,47.7516
1974-12-01,52.9378
1975-01-01,55.6989
1975-02-01,54.4115
1975-03-01,52.1395
1975-04-01,49.3369
1975-05-01,46.1066
1975-06-01,47.3769
1975-07-01,50.5251
1975-08-01,52.2585
1975-09-01,49.4320
1975-10-01,46.7476
1975-11-01,47.7981
1975-12-01,54.4112
1976-01-01,60.6120
1976-02-01,56.9337
1976-03-01,52.9187
1976-04-01,48.7185
1976-05-01,46.6811
1976-06-01,49.2486
1976-07-01,52.0220
1976-08-01,53.3791
1976-09-01,51.1014
1976-10-01,49.1373
